1411041,ILMU KEPERAWATAN,141
1411056,ILMU KESEHATAN MASYARAKAT,141
1411064,PENDIDIKAN DOKTER GIGI,141
1411072,KIMIA,141
1411087,BIOLOGI,141
1411095,MATEMATIKA,141
1411106,FISIKA,141
1411114,SISTEM KOMPUTER,141
1411122,PETERNAKAN,141
1411137,TEKNIK MESIN,141
1411145,TEKNIK SIPIL,141
1411153,TEKNIK INDUSTRI,141
1411161,TEKNIK LINGKUNGAN,141
1411176,TEKNIK ELEKTRO,141
1411184,FARMASI,141
1411192,TEKNIK PERTANIAN,141
1411203,TEKNOLOGI HASIL PERTANIAN,141
1411211,SISTEM INFORMASI,141
1411226,PSIKOLOGI,141
1411234,ILMU TANAH,141
1411242,AGROEKOTEKNOLOGI KAMPUS III DHARMASRAYA,141
1411257,PETERNAKAN ( KAMPUS II PAYAKUMBUH),141
1411265,KEBIDANAN,141
1411273,GIZI,141
1411281,PROTEKSI TANAMAN,141
1411296,PENYULUHAN PERTANIAN,141
1411307,TEKNOLOGI INDUSTRI PERTANIAN,141
1411315,ILMU BIOMEDIS,141
1421012,PENDIDIKAN MATEMATIKA,142
1421027,MATEMATIKA (NK),142
1421035,PENDIDIKAN BIOLOGI,142
1421043,BIOLOGI (NK),142
1421051,PENDIDIKAN FISIKA,142
1421066,FISIKA (NK),142
1421074,PENDIDIKAN KIMIA,142
1421082,KIMIA (NK),142
1421097,PENDIDIKAN TEKNIK BANGUNAN,142
1421101,PENDIDIKAN TEKNIK ELEKTRO,142
1421116,PENDIDIKAN TEKNIK ELEKTRONIKA,142
1421124,PENDIDIKAN TEKNIK MESIN,142
1421132,PENDIDIKAN TEKNIK OTOMOTIF,142
1421147,PEND. TEKNIK INFORMATIKA DAN KOMPUTER,142
1421155,ILMU KEOLAHRAGAAN (NK),142
1421163,TEKNIK PERTAMBANGAN (NK),142
1421171,TEKNIK ELEKTRO INDUSTRI (NK),142
1421186,PENDIDIKAN ILMU PENGETAHUAN ALAM,142
1421194,TEKNIK SIPIL,142
1421205,STATISTIKA (NK),142
1421213,TEKNIK MESIN (NK),142
1421221,ANIMASI,142
1421236,INFORMATIKA,142
1511011,PEND. KIMIA,151
1511026,PEND. MATEMATIKA,151
1511034,PEND. FISIKA,151
1511042,PEND. BIOLOGI,151
1511057,AGROEKOTEKNOLOGI,151
1511065,AGRIBISNIS,151
1511073,TEKNOLOGI HASIL PERTANIAN,151
1511115,PEND. OLAHRAGA & KESEHATAN,151
1511123,KEHUTANAN,151
1511131,PETERNAKAN,151
1511146,KEDOKTERAN,151
1511154,KIMIA,151
1511204,ILMU KEPERAWATAN,151
1511212,FARMASI,151
1511227,PEMANFAATAN SUMBERDAYA PERIKANAN,151
1511235,SISTEM INFORMASI,151
1511243,TEKNIK PERTAMBANGAN,151
1511251,TEKNIK GEOLOGI,151
1511266,BIOLOGI,151
1511274,FISIKA,151
1511282,MATEMATIKA,151
1511297,ILMU KESEHATAN MASYARAKAT,151
1511301,TEKNIK LINGKUNGAN,151
1511316,KEPELATIHAN OLAHRAGA,151
1511324,TEKNIK ELEKTRO,151
1511332,TEKNIK GEOFISIKA,151
1511347,TEKNIK KIMIA,151
1511355,TEKNIK SIPIL,151
1511363,TEKNIK PERTANIAN,151
1511371,TEKNOLOGI INDUSTRI PERTANIAN,151
1611012,AGROEKOTEKNOLOGI,161
1611027,KEHUTANAN,161
1611035,PETERNAKAN,161
1611043,AGRIBISNIS,161
1611051,TEKNOLOGI INDUSTRI PERTANIAN,161
1611066,PENDIDIKAN FISIKA,161
1611074,PENDIDIKAN BIOLOGI,161
1611082,PENDIDIKAN KIMIA,161
1611097,PENDIDIKAN MATEMATIKA,161
1611101,MATEMATIKA,161
1611116,FISIKA,161
1611124,BIOLOGI,161
1611132,KIMIA,161
1611147,TEKNIK INFORMATIKA,161
1611155,TEKNIK SIPIL,161
1611163,TEKNIK MESIN,161
1611171,TEKNIK ELEKTRO,161
1611186,ILMU KELAUTAN,161
1611194,PENDIDIKAN DOKTER,161
1611205,ILMU TANAH,161
1611213,STATISTIKA,161
1611221,ARSITEKTUR,161
1611236,SISTEM INFORMASI,161
1611244,PROTEKSI TANAMAN,161
1611252,FARMASI,161
1611267,GEOFISIKA,161
1611275,PENDIDIKAN IPA,161
1711013,TEKNIK SIPIL,171
1711021,TEKNIK PERTAMBANGAN,171
1711036,TEKNIK KIMIA,171
1711044,TEKNIK MESIN,171
1711052,TEKNIK ELEKTRO,171
1711067,PENDIDIKAN DOKTER,171
1711075,PENDIDIKAN DOKTER GIGI,171
1711083,MATEMATIKA,171
1711091,FISIKA,171
1711102,KIMIA,171
1711117,BIOLOGI,171
1711125,AGRIBISNIS,171
1711133,TEKNOLOGI HASIL PERTANIAN ,171
1711141,TEKNIK PERTANIAN,171
1711164,PEND. MATEMATIKA,171
1711172,PEND BIOLOGI,171
1711187,PEND. KIMIA,171
1711195,PEND FISIKA,171
1711206,ILMU KESEHATAN MASYARAKAT,171
1711214,ARSITEKTUR,171
1711222,ILMU KELAUTAN,171
1711237,BUDIDAYA PERAIRAN,171
1711245,TEKNOLOGI HASIL PERIKANAN,171
1711253,ILMU KEPERAWATAN,171
1711261,PEND TEKNIK MESIN,171
1711276,SISTEM KOMPUTER,171
1711284,TEKNIK INFORMATIKA,171
1711292,SISTEM INFORMASI,171
1711303,AGROEKOTEKNOLOGI,171
1711311,PETERNAKAN,171
1711326,FARMASI,171
1711334,TEKNIK GEOLOGI,171
1711342,PSIKOLOGI,171
1711357,ILMU TANAH,171
1711365,AGRONOMI,171
1711373,PROTEKSI TANAMAN,171
1711381,GIZI,171
1711396,KESEHATAN LINGKUNGAN,171
1721015,PENDIDIKAN MATEMATIKA,172
1721023,PENDIDIKAN BIOLOGI,172
1721046,KIMIA,172
1721054,BIOLOGI,172
1721062,PENDIDIKAN FISIKA,172
1721077,PENDIDIKAN KIMIA,172
1811014,TEKNIK MESIN,181
1811022,TEKNIK ELEKTRO,181
1811037,TEKNIK PERTAMBANGAN,181
1811045,TEKNIK SIPIL,181
1811053,AGROTEKNOLOGI,181
1811061,MANAJEMEN SUMBERDAYA PERAIRAN,181
1811076,BIOLOGI,181
1811084,AGRIBISNIS,181
1811092,AKUAKULTUR,181
1811103,ILMU KELAUTAN,181
1811111,KIMIA,181
1811126,FISIKA,181
1811134,MATEMATIKA,181
1911015,AGROTEKNOLOGI,191
1911023,AGRIBISNIS,191
1911031,TEKNIK GEOFISIKA,191
1911046,TEKNIK SIPIL,191
1911054,KIMIA,191
1911062,BIOLOGI,191
1911077,TEKNOLOGI HASIL PERTANIAN,191
1911085,PETERNAKAN,191
1911093,KEHUTANAN,191
1911104,TEKNIK PERTANIAN,191
1911112,MATEMATIKA,191
1911127,FISIKA,191
1911135,TEKNIK MESIN,191
1911143,TEKNIK ELEKTRO,191
1911151,PEND. MATEMATIKA,191
1911166,PEND. FISIKA,191
1911174,PEND. KIMIA,191
1911182,PEND. BIOLOGI,191
1911197,TEKNIK KIMIA,191
1911201,PEND. KEDOKTERAN,191
1911216,BUDIDAYA PERAIRAN,191
1911224,ILMU KOMPUTER,191
1911232,ARSITEKTUR,191
1911247,TEKNIK GEODESI,191
1911255,TEKNIK INFORMATIKA,191
1911263,SUMBERDAYA AKUATIK,191
1911271,ILMU TANAH,191
1911286,AGRONOMI,191
1911294,PROTEKSI TANAMAN,191
1911305,PENYULUHAN PERTANIAN,191
1911313,ILMU KELAUTAN,191
1911321,TEKNOLOGI INDUSTRI PERTANIAN,191
1911336,NUTRISI DAN TEKNOLOGI PAKAN TERNAK,191
1911344,PENDIDIKAN TEKNOLOGI INFORMASI,191
1911352,FARMASI,191
1911367,BIOLOGI TERAPAN,191
1921017,TEKNIK GEOMATIKA,192
1921025,TEKNIK ELEKTRO,192
1921033,PERENCANAAN WILAYAH DAN KOTA,192
1921041,TEKNIK GEOFISIKA,192
1921056,TEKNIK SIPIL,192
1921064,TEKNIK INFORMATIKA,192
1921072,FISIKA,192
1921087,ARSITEKTUR,192
1921095,TEKNIK LINGKUNGAN,192
1921106,TEKNIK GEOLOGI,192
1921114,MATEMATIKA,192
1921122,TEKNIK MESIN,192
1921145,BIOLOGI,192
1921153,TEKNIK INDUSTRI,192
1921161,FARMASI,192
1921176,TEKNIK KIMIA,192
1921184,KIMIA,192
1921192,TEKNIK FISIKA,192
1921203,TEKNIK KELAUTAN,192
1921211,SAINS ATMOSFIR DAN KEPLANETAN,192
1921226,TEKNIK BIOSISTEM,192
1921234,TEKNOLOGI INDUSTRI PERTANIAN,192
1921242,TEKNIK SISTEM ENERGI,192
1921257,TEKNOLOGI PANGAN,192
1921265,TEKNIK MATERIAL,192
1921273,TEKNIK PERTAMBANGAN,192
1921281,ARSITEKTUR LANSKAP,192
1921296,DESAIN KOMUNIKASI VISUAL,192
